Position X,Position Y,Position Z,Unit,TimePointID,TrackID
0.1563207066,254.0458287993,30.4328106067,um,4,1
2.3228891341,258.6956941622,29.2690235317,um,5,1
3.3683800437,259.302383771,31.9093193757,um,6,1
3.2281083355,257.7748438432,36.6316585938,um,7,1
1.7530746683,257.1199636576,36.0271001174,um,8,1
2.8658531215,256.4943594738,35.772601691,um,9,1
4.8860043631,256.3357390587,34.5457433467,um,10,1
4.3771414974,258.9349081783,33.4067373385,um,11,1
3.8294041361,262.0892510598,34.9898971666,um,12,1
2.8589096425,265.8150799283,36.4219481963,um,13,1
2.5494812226,266.3783034529,39.8742717397,um,14,1
2.8590632482,266.4000272891,41.2419031554,um,15,1
2.549513167,266.1221974239,40.8179082054,um,16,1
1.3802451737,267.2006764692,38.5987728782,um,17,1
2.1001725833,266.948144606,37.8037984139,um,18,1
1.9154826777,264.7408245586,35.1973325835,um,19,1
6.1188141673,262.0270823466,34.8973635812,um,20,1
8.5370860549,262.2461558631,35.5525471381,um,21,1
10.2564681264,264.262053155,36.1084956502,um,22,1
9.7600542149,265.090474551,35.562713617,um,23,1
9.4530496526,266.9696239868,33.7754336967,um,24,1
8.4555496627,264.3555253102,32.1150507551,um,25,1
6.662757032,265.3740874724,32.6475539959,um,26,1
3.6678574556,264.4853021438,34.1975738615,um,27,1
0.5429841298,263.9714576418,37.783039173,um,28,1
2.3048692523,268.2366493995,41.7559361519,um,31,2
8.2561025913,267.6553081168,40.9531553826,um,32,2
7.6151105387,267.2448272507,40.0292883747,um,33,2
7.1923101904,265.1978320885,37.3634442077,um,34,2
5.0986128457,262.6140980716,37.5454543735,um,35,2
3.8634831906,263.8484508672,34.8463933778,um,36,2
0.0870075292,264.2772996206,33.5374324159,um,37,2
0.3701851822,265.0012417785,33.3290699086,um,38,2
110.8341502701,154.4628803392,97.2271291468,um,1,3
189.519107004,166.4178010725,99.7571383754,um,13,4
192.504141568,165.0064907634,99.307687074,um,27,5
194.014482822,163.196859376,97.6795644544,um,28,5
195.1075784978,163.3155759443,96.9226789,um,29,5
194.6706614704,161.3461866791,95.5540365441,um,30,5
194.2694275803,160.0052756581,95.4126385991,um,31,5
195.7090739914,159.4560269879,95.0106212531,um,32,5
196.9988789221,159.5924058222,93.9032361158,um,33,5
198.496714759,158.5629423579,93.8312391875,um,34,5
198.5285956063,157.1489633495,94.7352456756,um,35,5
199.6043878611,155.0120140564,95.0406803041,um,36,5
199.5678846727,154.694945988,95.2965353021,um,37,5
200.792707384,153.9144915668,95.6439079155,um,38,5
199.9399265431,153.4086044107,98.015957017,um,39,5
200.2342416576,153.61181399,99.564069864,um,40,5
200.2556241991,153.0921783232,99.3167218868,um,41,5
201.6787008307,151.9517751011,98.3723226817,um,42,5
202.4523148345,150.0169920957,98.548102943,um,43,5
201.7553781994,150.247131388,98.9328282375,um,44,5
201.6969621285,151.580339564,99.9156032864,um,45,5
203.1162462408,152.668682115,99.7102988807,um,46,5
204.639719928,153.791710791,99.5129070939,um,47,5
208.1648039345,160.4576426943,99.1241255971,um,53,6
208.6047951214,160.8457777561,98.3332425077,um,54,6
209.375029599,162.6776078418,97.6646677148,um,55,6
208.1761133727,162.8570076121,97.4037162712,um,56,6
206.5306753284,162.0430944202,96.8216408678,um,57,6
203.9002289058,162.2417420047,95.5630879426,um,58,6
201.8480877519,161.1125419927,94.9052106779,um,59,6
199.9880718646,160.9995757775,93.4761847519,um,60,6
197.9387300996,160.3778330036,93.2980446127,um,61,6
