Position X,Position Y,Position Z,Unit,TimePointID,TrackID
262.8057430825,410.9358992694,50.5071368521,um,4,1
262.0046751777,409.3971279585,48.9554184041,um,5,1
257.7829015066,408.3366937012,47.6148195062,um,6,1
258.342560333,408.629582148,45.5074098091,um,7,1
259.7356771175,410.0334222246,44.9482277918,um,8,1
261.681466689,410.0916063056,46.4428449411,um,9,1
260.2800789464,411.7795840805,48.9798428879,um,10,1
256.5606934486,411.9652599085,50.9452443616,um,12,2
240.4708411267,411.7356663083,51.108637373,um,27,3
242.1502058242,409.1738931857,49.0327887136,um,28,3
241.1889675966,408.4244540331,48.4510923325,um,29,3
239.1011927585,409.1340625883,45.712505444,um,30,3
238.2507649962,411.7588924312,44.7314918541,um,31,3
238.2467472483,411.0920477918,44.5512589988,um,32,3
238.3774441692,410.9212744301,44.5135027006,um,33,3
242.0644399426,408.5339981544,44.801285619,um,34,3
247.5822448143,408.739228134,46.7454448826,um,35,3
247.9982287982,408.0016053841,49.1547508765,um,36,3
248.084308012,407.864067902,49.2461134402,um,37,3
251.5799579226,407.6322638203,52.2406248457,um,38,3
253.3788313992,407.4969349656,50.8825737341,um,39,3
254.6923335076,407.7632188282,50.0696656034,um,40,3
255.2058736819,408.2859646344,48.6835749298,um,41,3
255.2118465936,407.4548361163,45.7030699954,um,42,3
252.1756499892,406.5492826495,44.5226606328,um,43,3
249.3774637701,402.9219386122,42.9651060621,um,44,3
247.3006170899,403.187659371,43.8144049474,um,45,3
244.9507338582,403.0038073017,42.1903325653,um,46,3
243.7093799063,402.6700755651,40.4054152537,um,47,3
239.5135413986,402.477122512,38.9028603237,um,48,3
236.6836946437,399.725115182,40.2751624149,um,49,3
234.4792154745,400.1038206462,40.4226796409,um,50,3
231.337186297,399.9967738042,39.4279467303,um,51,3
230.7430078928,401.7057218196,39.2423931635,um,52,3
230.5377925733,402.8931176289,40.9589006081,um,53,3
231.7572313917,406.2807134474,42.5622297519,um,54,3
229.4221258025,405.9020714261,44.4961556282,um,55,3
227.1787153916,406.3817687353,43.2972392776,um,56,3
228.2956138596,407.0560502089,41.2685540955,um,57,3
231.9519557828,406.9782961131,38.6787088954,um,58,3
231.6412056294,408.1029097782,37.893989471,um,59,3
231.428283407,408.3304892704,38.1987315331,um,60,3
228.8176169788,411.0740664802,39.0722239296,um,61,3
229.173802755,411.8094774712,38.9961924485,um,62,3
192.6746853197,120.4786331422,27.1691494166,um,1,4
193.6607778907,118.9068769602,26.3770969339,um,2,4
192.3010529814,117.9625114213,27.4472085349,um,3,4
192.0889421862,119.4376305934,28.9610475872,um,4,4
190.0546151213,119.6479175789,28.9743915966,um,5,4
190.8535238683,121.0930591866,30.353407836,um,6,4
192.4310026424,122.0908972323,31.1810310272,um,7,4
194.4372854342,122.3024261159,31.2379821802,um,8,4
195.282379974,120.5513059166,30.8629920706,um,9,4
194.0765786641,121.5448022847,29.7166696821,um,10,4
194.7288891725,120.6991973736,28.2125223422,um,11,4
196.4254203948,121.1650033569,28.8579672201,um,12,4
195.9520649346,123.059853716,27.7088162768,um,13,4
195.5727586735,124.7340049433,26.3710856322,um,14,4
195.989940425,123.3398027055,24.6971097558,um,15,4
196.3167248373,122.9007160615,26.6714258153,um,16,4
194.4605235431,123.8254737668,26.0378132971,um,17,4
196.0555883167,124.9602126556,25.9039414542,um,18,4
195.04024239,126.5715354029,26.8018955204,um,19,4
194.2085501636,124.781703952,27.6484503175,um,20,4
195.6698487521,124.582390364,29.0320007519,um,21,4
197.0008439262,122.9941199348,29.8605670533,um,22,4
196.3410284682,124.0813256659,31.3882780275,um,23,4
197.042806672,123.6020508912,33.2869500022,um,24,4
198.0851678253,121.861293291,33.4201682149,um,25,4
199.8987817781,122.0058176223,32.7377703174,um,26,4
201.3220123819,120.8906467592,33.515594833,um,27,4
199.9746551844,121.8232790031,33.8636217889,um,28,4
201.713439416,122.6859779177,33.0706793379,um,29,4
202.051245429,123.519593056,34.8712216898,um,30,4
203.8478634058,123.3082646941,35.7111162775,um,31,4
202.1726697045,122.5254012789,36.9325452997,um,32,4
201.5752487728,123.1405694089,35.2632582653,um,33,4
199.7092943262,124.216782247,35.0206714142,um,34,4
199.9739403477,124.5884460879,36.9802491418,um,35,4
201.1654082513,122.9056905449,36.4002128455,um,36,4
201.6919940932,123.3458995477,34.503850609,um,37,4
200.4256866348,122.1647388023,33.2758357775,um,38,4
198.6438959151,123.2233690301,33.8480698358,um,39,4
197.6088016456,121.4636531653,34.6922531423,um,40,4
197.9326039022,119.5044430386,35.6810430789,um,41,4
197.48565805,121.5289012217,36.5667674874,um,42,4
196.1275414013,121.0694794593,35.1094133201,um,43,4
197.9799029714,120.0405228866,35.2549175616,um,44,4
198.1262761765,120.5564426461,37.2684195509,um,45,4
197.0799514379,121.4873088426,38.7062820157,um,46,4
196.238396051,119.6649430409,38.0733016788,um,47,4
195.7938505124,118.2957118582,36.1958972689,um,48,4
197.3258614866,116.9073723452,36.3259035547,um,49,4
196.5916584472,116.5972757245,34.3975690094,um,50,4
198.1236964553,117.904078635,35.0415301993,um,51,4
198.3487127836,116.0832809906,34.9946645754,um,52,4
199.8174272534,115.7228257409,36.718073522,um,53,4
199.9933963823,117.5173813796,37.4707305129,um,54,4
198.7253482594,117.9031515418,38.7100976128,um,55,4
197.306744307,118.3903989981,39.9411955541,um,56,4
198.3660883837,119.3954569095,38.1682643847,um,57,4
200.0271987343,120.9520098324,38.5686851902,um,58,4
201.2031154156,120.304781874,37.0587073653,um,59,4
199.2348323031,120.3531069389,36.0520348096,um,60,4
200.6622579998,118.4471507763,35.6849921054,um,61,4
202.0122011027,118.3433898284,36.8139694952,um,62,4
332.4995054572,155.6229719267,23.2606426724,um,1,5
332.7774912297,153.2853564382,20.7718321918,um,2,5
334.0688326796,150.4137995891,19.4755663469,um,3,5
337.0708830029,147.041876667,21.3103923262,um,4,5
339.7507574365,145.3840190546,21.3493771605,um,5,5
340.9314252809,141.2115391866,20.7685059286,um,6,5
343.2233848143,139.4841877122,21.1178716486,um,7,5
347.0709054769,134.9240574555,23.3272564942,um,8,5
351.4693040493,127.8000730825,24.4430845151,um,9,5
351.3181490787,125.864666794,25.3451985512,um,10,5
351.0366708395,119.0871887266,28.5581928968,um,11,5
353.5605540536,115.3836847218,31.6928029632,um,12,5
354.2259799184,111.1613071678,33.1710114439,um,13,5
352.1647642579,109.2007935008,35.0612102938,um,14,5
346.9231344419,108.7619424125,37.7118342901,um,15,5
342.6221045575,105.7664996946,38.1443552559,um,16,5
338.9652063632,102.6017271408,38.8582539633,um,17,5
335.9308996804,100.3646122767,39.1031720567,um,18,5
332.9655883386,97.1860844413,41.2279061779,um,19,5
326.8120861212,92.5485389849,42.851246317,um,20,5
322.3762984047,92.7551354145,41.635012599,um,21,5
314.8997454549,90.3213265366,40.9504457081,um,22,5
307.4418425736,85.5591128128,38.3535597109,um,23,5
305.5738158562,85.0699289393,37.6357349196,um,24,5
304.2849895659,80.390660458,38.5542265774,um,25,5
303.4168001916,75.7416680674,39.2515426209,um,26,5
299.6009982438,71.6152953282,40.7468082459,um,27,5
299.9067234088,67.4672999688,40.9859634058,um,28,5
297.9019461975,62.5197929217,41.3314041274,um,29,5
292.6992134444,59.9962976894,39.0262851943,um,30,5
290.6665936228,54.738681277,38.1643058897,um,31,5
291.3212446592,47.8359034475,38.9324993145,um,32,5
292.5431998879,45.0540778201,42.413254177,um,33,5
293.3685440652,44.0244192768,45.9856357585,um,34,5
297.4743737969,44.0472096467,51.9698692717,um,35,5
296.9314699763,43.0617656267,55.8237648947,um,36,5
294.3729217734,41.5854782792,62.1755673829,um,37,5
291.0879477944,43.8054139255,67.7942610581,um,38,5
287.8241233115,45.0348003692,72.0759979329,um,39,5
281.8378832233,46.3514120235,76.8606403283,um,40,5
281.1158048557,48.0342965081,80.9012044988,um,41,5
278.4019990691,50.5411003546,85.3628023299,um,42,5
275.4661741749,52.7941349398,93.7506857415,um,43,5
275.3182697454,50.8422239353,96.8453420317,um,44,5
214.0347353578,175.9244545247,11.4327955589,um,1,6
213.3731671717,175.0704767405,11.6577637452,um,2,6
214.0581971025,174.4861814443,12.2094799528,um,3,6
214.6090384512,174.1728934901,13.0389527702,um,4,6
215.5279312491,173.6813500741,13.3233243323,um,5,6
215.7952266703,172.8592108147,12.6790985846,um,6,6
215.8313088765,171.8777901241,12.259889081,um,7,6
216.1109967495,171.4308591,11.4161586983,um,8,6
216.4670404315,170.944343899,10.5454602917,um,9,6
216.9639808097,170.1654621709,9.9831281133,um,10,6
217.5574059653,170.8615598909,9.5368823118,um,11,6
217.9581615873,171.6540190262,8.9392956335,um,12,6
218.5372513397,172.2236348013,8.3374461054,um,13,6
218.0261078504,172.489377741,7.4692260845,um,14,6
217.8151859783,172.1113603637,6.5509605402,um,15,6
218.1837451617,173.0687922144,6.2953542356,um,16,6
219.1550535023,173.5056385839,6.3242115223,um,17,6
219.477574042,173.5996137826,7.292747495,um,18,6
219.2796629377,173.0496611098,8.2139127293,um,19,6
218.7850548835,172.6267507666,9.0477190571,um,20,6
218.5201907062,171.7453912748,9.5616401371,um,21,6
218.1468864886,171.3664165112,8.6821243418,um,22,6
217.3248174672,170.7285312095,8.6581696726,um,23,6
217.4450872863,169.6782135383,8.376094917,um,24,6
216.6505486448,168.9858233168,8.1397322862,um,25,6
216.3846455257,168.2213689514,8.8291868157,um,26,6
216.5750587044,167.2492353892,9.0696679387,um,27,6
217.3419534528,166.6426541485,9.5445810302,um,28,6
218.1189866699,166.1362480596,10.085188117,um,29,6
218.8542633787,165.6440954546,10.5925086729,um,30,6
219.7027505187,165.2421767869,11.0965266797,um,31,6
220.7144481986,165.441308143,11.1738485296,um,32,6
221.0858503955,165.485352453,12.1146946804,um,33,6
221.518127368,165.5738978221,13.075214658,um,34,6
221.7503385322,165.3983695149,14.0979762435,um,35,6
222.0517236029,165.2817367867,15.0626619414,um,36,6
222.7628617209,165.0662388693,15.783099303,um,37,6
223.093325968,164.3105005331,16.4679748189,um,38,6
222.3938559213,163.6778630691,16.9478587066,um,39,6
221.9079221548,163.0921961994,17.6263740696,um,40,6
221.2095138044,162.4015549516,17.905696718,um,41,6
221.1514186142,161.6445543062,18.6526057497,um,42,6
220.4639389415,161.1949559617,19.2773166491,um,43,6
220.1947025823,160.2143215835,19.4989550812,um,44,6
220.2434301584,159.136691169,19.5509851669,um,45,6
220.2533141032,158.191835741,18.9938415949,um,46,6
220.6215966799,157.3651527305,18.5005817154,um,47,6
221.5792533601,157.0123233821,18.6078264766,um,48,6
222.416335327,156.3712008642,18.6425028265,um,49,6
223.0585703111,155.5745050728,18.5740600435,um,50,6
222.6966233417,154.6217410947,18.8948184852,um,51,6
222.5005204969,153.6675289608,18.3618646394,um,52,6
222.3018172799,153.1549155408,17.4411646568,um,53,6
223.1089340071,153.8244376934,17.2028722374,um,54,6
223.8453109808,154.5017549931,17.3869160008,um,55,6
223.8005026684,155.4257768297,16.9457227371,um,56,6
224.102434888,156.3127644877,16.4944988974,um,57,6
224.9632031977,156.8576050778,16.3946623116,um,58,6
225.9221820031,156.815419433,16.0018507341,um,59,6
226.788216744,156.5030420692,15.4805711862,um,60,6
227.3538159082,155.8982672584,14.8383973906,um,61,6
227.5287751008,154.9245915079,14.6393765734,um,62,6
283.1266514312,283.0904947845,27.7702815761,um,1,7
285.6505086538,284.547029012,29.6087078479,um,2,7
286.0872413431,284.9093642274,29.7725186639,um,3,7
287.9783812406,289.8891271889,32.1100702204,um,4,7
288.6399976835,291.6226813966,32.9278435314,um,5,7
289.0564148764,293.974715859,34.4539637504,um,6,7
288.4043006626,294.976063421,36.9120026233,um,7,7
288.4307765374,295.5024701925,40.5250372418,um,8,7
288.3347044106,296.1752230775,41.0187684001,um,9,7
287.8359934836,298.4559063138,39.0358089327,um,10,7
289.6086610312,300.8265002474,39.0552317424,um,11,7
292.9587242206,305.8241051195,38.6967317757,um,12,7
291.6959199901,307.2894442348,40.0442661205,um,13,7
292.4984020141,310.1452737386,40.1845100077,um,14,7
295.3695196738,310.5818049913,39.3657292212,um,15,7
297.4822165087,311.8966860109,39.4982427143,um,16,7
299.3554718167,317.0632553441,39.1800935596,um,17,7
300.6679250616,320.8667602609,38.7365199703,um,18,7
303.6294665795,323.3390664205,39.972437971,um,19,7
303.9637003098,324.6266538059,38.4418536187,um,20,7
304.745666204,327.1842717574,38.8869305336,um,21,7
305.3253937923,328.7690755142,35.8216158344,um,22,7
305.6020351387,329.510368246,34.3798225732,um,23,7
304.5662775938,330.3625546124,32.6579599401,um,24,7
304.3095679967,330.6481643687,31.3451150546,um,25,7
303.6512183782,330.8649500973,26.9728285474,um,26,7
303.4587740524,331.0800661087,25.6722196247,um,27,7
304.155669691,332.0678398449,24.5038442265,um,28,7
304.1860722748,332.1884409394,24.3465275571,um,29,7
303.4840037899,333.1465317047,22.6954060161,um,30,7
302.0838909341,334.0330941883,22.7926283128,um,31,7
299.9486357487,334.5717024855,21.4800732991,um,32,7
299.7961432763,337.2688636352,19.5113404724,um,33,7
300.0396133042,338.0531562608,19.8046967243,um,34,7
303.1177748682,342.2409447275,20.2521354736,um,35,7
304.0531461206,343.6348456953,21.9174717237,um,36,7
304.3485094285,346.0874656506,21.8092285206,um,37,7
304.4590943792,346.2966808565,21.1445441319,um,38,7
304.4323588836,346.3374630235,21.1512379433,um,39,7
304.0331198141,348.0481638755,20.9082711884,um,40,7
303.3493679742,350.3849729318,18.2536755745,um,41,7
303.4362197759,350.7770983827,18.8127526703,um,42,7
303.4953211928,350.6517071275,19.264168755,um,43,7
304.8364100168,349.3886541759,20.9595199681,um,44,7
306.8887569887,348.1140747187,24.9325704603,um,45,7
305.8553881743,346.7169521245,24.8646245216,um,46,7
304.0426036973,345.4829441673,23.8309125596,um,47,7
303.8271804914,344.3987805167,22.5175442287,um,48,7
305.1839785585,342.8462402188,20.6700641794,um,49,7
306.3666229175,339.2700224973,18.1738622073,um,50,7
306.1004944603,336.0394521194,19.1102054961,um,51,7
306.1768643273,334.9252169808,20.8044617537,um,52,7
306.7530229733,332.8468508939,24.4488492819,um,53,7
307.507944129,329.0834139335,26.5821207371,um,54,7
307.7249495195,328.0898086846,27.1765402082,um,55,7
307.1967662113,325.5848637927,28.9546756436,um,56,7
307.4427648829,324.3807971011,28.691384683,um,57,7
309.3261263116,320.9697162431,25.959612414,um,58,7
311.834926714,318.4503153889,21.4258689035,um,59,7
312.1240577526,316.5269804612,19.7212904935,um,60,7
311.5767115922,315.6987513054,19.4727741023,um,61,7
310.4092110134,315.0063867316,19.1137214263,um,62,7
374.2131266374,246.1775113164,97.9677540052,um,1,8
374.4780015405,246.4831668306,98.1013394128,um,2,8
374.4820080149,246.4928591738,98.1053518147,um,3,8
374.4536470823,246.5363835715,98.1023924923,um,4,8
374.7247375565,247.2509794925,98.1690942627,um,5,8
374.8294741589,247.3863009469,98.1990872153,um,6,8
374.8681671021,247.703573757,98.0348006079,um,7,8
374.8758118846,247.702603004,98.043196617,um,8,8
