Position X,Position Y,Position Z,Unit,TimePointID,TrackID
135.6469583216,183.6934176201,29.7769340909,um,1,1
135.6354316739,183.6667072222,29.6516931074,um,2,1
168.8215501492,209.2296604637,68.1743939233,um,3,1
167.0795679821,209.1239357895,68.0330118129,um,4,1
164.3339291725,210.0315162763,69.6550716246,um,5,1
162.4462262379,209.9809639102,71.8173544171,um,6,1
160.4673012671,209.4363466311,70.7028875203,um,7,1
159.4641396022,210.2314985398,70.1649016104,um,8,1
159.1030263531,210.2027454229,70.3872417131,um,9,1
159.015104182,211.2028527225,69.4853257421,um,10,1
159.8774796669,212.5301647801,67.3781700938,um,11,1
161.7709252267,210.0263556198,68.0633364492,um,12,1
162.6982334895,208.3055798408,68.2011827154,um,13,1
162.1763358066,207.7593541337,67.5180488478,um,14,1
161.6544381237,207.2131284267,66.8349149801,um,15,1
161.1325404409,206.6669027196,66.1517811125,um,16,1
158.960024206,205.4662296342,65.0959229371,um,17,1
156.0801000204,203.985079101,63.8803257727,um,18,1
157.1787774929,197.817476131,65.2492499032,um,19,1
138.8147880733,212.3134446309,69.799705718,um,20,1
138.0822432717,214.5004948406,71.0938695313,um,21,1
139.5681828584,215.1528318491,72.0137073728,um,22,1
139.4307761317,214.1451828106,71.8761994958,um,23,1
138.5829352744,212.4737662978,71.278675883,um,24,1
139.3901626603,213.0364499582,66.1615570945,um,25,1
140.155315177,212.8022783001,65.8383744452,um,26,1
141.3451216143,212.2092020622,68.0583568237,um,27,1
142.5349280516,211.6161258243,70.2783392021,um,28,1
140.3198480817,212.2414655616,70.1732260793,um,29,1
140.8387111278,211.7807677036,69.7090792192,um,30,1
142.1499153296,210.7967980707,68.5657899355,um,31,1
143.7478796364,206.155736312,69.2781372738,um,32,1
143.3882821647,205.9347088931,70.6757555383,um,33,1
143.0210512317,206.2339003071,71.665671096,um,34,1
144.2660705611,206.8771462938,72.0154749869,um,35,1
149.9682301973,209.0463674438,74.1068905932,um,36,1
147.9349448813,208.7773482364,72.8525143445,um,37,1
146.7280624971,209.7888491566,72.7820846709,um,38,1
148.2751751819,212.2846512757,71.7754186427,um,39,1
150.4968649968,215.5480895616,69.2504771875,um,40,1
152.4799466391,216.4252591678,66.9795533198,um,41,1
152.5861642881,216.5577636355,66.4433653421,um,42,1
151.9418338866,216.5244269064,65.8913660617,um,43,1
149.4039775083,216.19970644,63.2699198958,um,44,1
145.4550736382,214.5284007339,60.5325220993,um,45,1
145.1092367589,215.2205718442,57.9962655717,um,46,1
143.0010843996,212.7141430569,55.0516083523,um,47,1
141.2322530576,209.4445976307,54.7511911103,um,48,1
140.7586919313,209.310714355,54.3848374272,um,49,1
140.9418340188,209.1399886494,54.3279288921,um,50,1
142.2045835279,208.719282753,53.6886942124,um,51,1
158.7572960267,207.716097454,47.6112495884,um,52,1
158.811654771,208.9805009331,47.6449937093,um,53,1
158.4770806228,210.0314170629,48.6325707738,um,54,1
157.78451177,211.4453269567,45.0797268409,um,55,1
153.9624223262,209.6685706654,42.3965140745,um,56,1
148.7991097719,206.5243860091,40.0860003797,um,57,1
147.0770135763,204.2775064469,38.9912284862,um,58,1
147.3632319732,203.1907132031,38.6593121572,um,59,1
139.1763255451,197.2914195447,42.9686562,um,60,1
